107000-211001                   	南湖园区食堂运行经费
115002-BC1901                   	无约束环境下基于多传感器信息融合的协同感知
115002-BC1901PT                 	无约束环境下基于多传感器信息融合的协同感知
115002-EC1901                   	地外环境下多源传感数据融合和语义分割算法研究
115002-GA1901                   	高运动性能的双足人形机器人
115002-GA1901PT                 	高运动性能的双足人形机器人
115002-GA2001PT                 	浙江省“万人计划”杰出人才（2019R51010)
115006-UA2001SJ                 	基于深度强化学习和Barra多因子特征提取的金融时序算法研究
113012-540402                   	光纤传感研究中心—日常运行经费
107000-540401                   	条件保障部-行政综合费
102000-542004/001               	赵宇超
100000-710101                   	“151”人才专项经费
101004-540401                   	综合管理部-后勤-行政综合费
115002-GD2003                   	直拉式单晶硅液位和直径同步视觉检测关键技术研究
115002-BA1901                   	内啮合齿轮泵摩擦界面的热弹流润滑特性研究
115002-GD2101                   	面向双足机器人全向行走捕获点控制的强化学习机理研究
100000-201001                   	后期服务中心—新园区后勤物资采购
111007-AC1901                   	深度模型炼知技术开源开放平台
100000-652202                   	经营性收入
115004-GD2103                   	面向小样本多时间粒度特征的脓毒症预后模型研究
115004-UA2003                   	基于多任务学习的肝细胞癌早期复发预测（2020TQ0293）
112003-AB2001                   	支持微秒级确定性的时间敏感网络芯片关键技术研究
112003-AB2002                   	基于深度学习的恶意代码检测技术
100000-510601                   	全球人工智能大赛
115004-GD2001                   	肝脏多期CT图像协同分割方法研究
115004-BA2102                   	快速超低剂量PET图像重建深度学习算法
115004-AB1901                   	弱标注条件下医学实体识别与关系构建
115004-BA2101                   	临床风险预测模型时空泛化能力提升关键技术
115004-BA2103                   	融合药代动力学多维度时空特征的双示踪剂PET动态成像
115004-AC2101                   	肺癌多模态医学影像综合分析系统研制
112003-BC2001PT                 	多模态智慧网络核心技术与原理平台（配套）
115006-AB2001                   	基于区块链的跨域数据隐私保护技术
111008-UA2001SJ                 	面向复杂场景的高效目标检测及语义分割研究
108002-540402                   	之江-燧原联合创新研究中心日常运行经费
113014-AC2101                   	人工肌肉材料关键技术
115004-TA1901                   	智能反馈式医学影像系统
111008-PI2105                   	高维数据的差分隐私近似表征
113010-PI2104                   	嗅觉传感器自动研发测试平台
107001-541601                   	条件保障部-北京联络处-业务费                                                                                                                                                                            
112003-GD2001                   	基于动态偏好学习模型的多任务优化方法研究
116000-BC2101                   	工业互联网安全平台                                                                                                                                                                                      
111002-AB1904                   	大规模图数据异常模式挖掘研究
111002-AB1905                   	基于深度神经网络的大数据异常检测研究
111002-AB1906                   	基于图神经网络的异常实体分析关键技术研究
100000-954777                   	横向科研事业收入过渡
113009-CS2001                   	测试
100000-420009                   	管理费归集项目（横向）
100000-420005                   	管理费归集项目（自设）
115006-AC2001                   	金融风控与反欺诈中的智能计算技术研究
112003-PI2001                   	PI科研启动经费
100000-932001/001               	纵向科研事业收入
100000-932001/002               	横向科研事业收入
115006-KB2101                   	区块链应用监管系统和技术体系研究及应用-区块链应用监管系统和技术体系的研究和应用
100000-932001/003               	其他经费
121005-PI2101                   	基于物理的光能感知与计算                                                                                                                                                                                
100000-541102                   	维修费
100000-420008                   	管理费归集项目（纵向）
100000-420011                   	水电费归集项目（横向）
100000-420006                   	水电费归集项目（自设）
113010-AB1901                   	脑部微循环高分辨率光声断层成像
113010-AB1902                   	智能机器人的全柔性类肤感知系统设计及其多模态触觉感知机理研究
113010-AB1903                   	跨尺度、双模态感知新型柔性触觉传感器开发
102000-212008/004               	2020之江杯工业互联网内生安全防御国际菁英挑战赛
102000-212008/005               	条件保障部
102000-212008/006               	纪检监察审计部
102000-212008/007               	工业互联网研究中心
113010-UA2002                   	基于光场调控的大通量3D暗斑技术研究（2020M671823）
111008-UA2001QJ                 	面向复杂场景的高效目标检测及语义分割研究
102000-540401                   	人力资源部-行政综合费
100000-660006                   	浙大全职双聘
100000-420012                   	增值税归集项目（财政拨款南湖项目支出）
100000-660007                   	管理人员津贴
100000-420001                   	增值税归集项目（2019年度）
100000-420013                   	增值税归集项目（财政拨款科研项目支出）
100000-420014                   	增值税归集项目（2019年度非财拨项目支出纵向）
100000-420015                   	增值税归集项目（2019年度非财拨项目支出横向）
100000-420020                   	增值税归集项目（2019年度非财拨基本支出）
115002-AA2006                   	★旋翼无人机的全解耦自适应起落架设计方法研究
115002-AA2007                   	★面向仿人步态行走的双足机器人足部研究
100000-420004                   	2018年度归集项目
115002-AA2008                   	★仿人机械手爪研究
115002-AA2009                   	★基于深度强化学习的轻量力控协作臂抗干扰算法研究
107000-540402                   	条件保障部—日常运行经费
116000-PI2101                   	物联网中传感器网络低功耗节点定位理论与系统
113010-GD2102                   	基于微电子印刷的柔性VOCs疾病标志物传感器的研究
101000-540402                   	综合管理部—日常运行经费
102000-540402                   	人力资源部—日常运行经费
113010-GD2001                   	基于印刷电子制造技术的机械手可穿戴式触觉传感器研究
113009-540402                   	量子传感研究中心—日常运行经费
113010-HH2001                   	第三代半导体表面/亚表面微缺陷快速检测设备研制
115002-540402                   	智能机器人研究中心—日常运行经费
115002-GA2001PT/001             	地外复杂未知无约束环境多源传感器协同精准感知
113012-AD2001                   	★716项目
117008-PI2101                   	★片上微型自由曲面光耦合器的设计开发
111002-PI2101                   	★基于动态多模型集成的鲁棒学习理论
100000-541103                   	租赁费
111007-PI2001                   	PI科研启动经费
113004-JR1801                   	新结构新沟道材料CMOS的超快速表征和可靠性研究
115002-AL2103                   	智能曲谱解析技术研究及面向仿人钢琴演奏机器人的应用
100000-541104                   	公务用车运行维护费
115002-AL2104                   	基于仿生机理的双足机器人柔顺腿部结构与弹跳运动研究项目
100000-215007                   	李碧清业务费
100000-541900/008               	智慧园区
111008-PI2103                   	脑认知：睡眠中的记忆巩固的机理研究及对深度学习的启发
100000-420010                   	水电费归集项目（纵向）
100000-420007                   	无形资产及费用归集项目
102000-212008/002               	之江实验室南湖园区一期工程基建团队
102000-212008/001               	天枢人工智能开源平台项目团队
102000-212008/003               	深海机器人团队
102000-542002/003               	一次性科研补助
115002-GD2001                   	柔性连杆并联机构的定位精度补偿方法研究
100000-217018                   	团建费-智能芯片与器件研究中心
115002-GD2002                   	基于捕获点的仿人机器人动态平衡控制研究
111002-AB1903                   	深度元学习关键问题研究
111010-UA2102                   	大规模动态图数据上子图挖掘的分布式算法研究
102000-542007                   	人力资源部-2021年博士后学术交流计划经费
113011-PI2101                   	适用于人工智能计算的可扩展、异构、低能耗、高计算性能、可编程的芯片体系架构及设计方法
113011-AA2002                   	★基于编码超表面的毫米波天线设计研究
111008-PI2104                   	★面向区块链的隐私与监管技术研究
113011-AB1901                   	基于混合集成工艺的高速光芯片阵列驱动控制技术研究
113011-AA2004                   	超高速高精度模数转换器的关键技术研究
113010-PI2001                   	PI科研启动经费
100000-932001                   	事业收入总户
100000-540001                   	人员经费
111006-AB1901                   	基于忆阻器的存算一体全系统模拟技术
113010-PI2101                   	PI科研启动经费（指尖识别点阵图形的触觉特性研究）
113010-PI2106                   	深度感知偏振内窥成像技术研究
111006-AB1902                   	基于深度脉冲神经网络的智能语音处理研究
113011-PI2102                   	基于互连可靠性与失效分析的 异质异构集成封装设计研究
111006-AB2001                   	激发式类脑芯片与传统芯片异构集成关键技术研究
100000-954888                   	纵向科研事业收入过渡
113010-PI2105                   	基于虚拟传感技术的智能噪声控制系统
113009-AB1901                   	集成芯片微纳尺度力学效应及检测
113010-PI2103                   	多参量传感融合存算一体化平台
102000-542002                   	人力资源部—博士后经费
100000-540001/001/002           	人员经费—全职人员企业编
115012-TD2101/001               	长三角产教融合智慧云平台-面向多人远程交互的VR关键技术
101000-KE2101                   	平台型企业赋能网络市场治理的路径、问题与对策研究
113009-AB1902                   	基于原子吸收的高灵敏度原子自旋进动信号检测方法与噪声抑制研究
000000-540000                   	经常性经费预算总户
100000-540001/001               	人员经费—全职人员
100000-540001/002               	人员经费—双聘人员
115011-AH2001                   	人工智能社会实验研究中心专项经费
100000-540001/003               	人员经费—特聘人员
113012-AH2001                   	光纤分布式水听系统算法研究
100000-540001/004               	人员经费—其他人员
100000-420003                   	费用归集项目（2019年度）
100000-660001                   	企业编工资
100000-660002                   	事业编工资
100000-660003                   	双聘人员工资
100000-660004                   	特聘人员工资
100000-660005                   	非全职兼聘
115002-UA2018SJ                 	仿人机器人高性能腿足的结构优化与运动控制研究
115004-UA2021SJ                 	基于深度几何先验学习和领域自适应的多期肝脏CT图像精准分割研究
112003-UA2003SJ                 	IIoT轻量级安全认证与访问控制协议关键技术研究
115002-UA2019SJ                 	地外环境下基于视/振信息的地形语义感知技术研究
113010-UA2024SJ                 	基于光场调控的大通量3D暗斑技术研究
